date,city,max_temp,min_temp,precip,max_wind
2026-02-25,New York,2.4,-10.9,1.5,14.8
2026-02-25,London,16.8,8.4,0.0,13.0
2026-02-25,Tokyo,11.0,5.7,43.9,16.5
